"display";"code";"request_result";"examination_result";"scale";"unit_measure";"method";"specimen"
Herpes simplex virus 1 IgM Ab [Units/volume] in Serum by Immunoassay;"5207-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Herpes simplex virus 1 IgM Ab [Units/volume] in Serum by Immunoassay;"5207-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay;"5209-2";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay;"5209-2";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay;"5209-2";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Herpes simplex virus 2 IgM Ab [Units/volume] in Serum by Immunoassay;"5210-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Herpes simplex virus 2 IgM Ab [Units/volume] in Serum by Immunoassay;"5210-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Megaloblasts/100 cells in Bone marrow;"52127-8";Hasil;Quantitative;Qn;%;;Sumsum tulang
"t(9;22)(q34.1;q11)(ABL1,BCR) b2a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method";"52130-2";Hasil;Quantitative;Qn;%;Molgen;Darah
"t(9;22)(q34.1;q11)(ABL1,BCR) b3a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method";"52131-0";Hasil;Quantitative;Qn;%;Molgen;Darah
"t(9;22)(q34.1;q11)(ABL1,BCR) e1a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method";"52132-8";Hasil;Quantitative;Qn;%;Molgen;Darah
Heterophile Ab [Presence] in Serum by Latex agglutination;"5213-4";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
"t(9;22)(q34.1;q11)(ABL1,BCR) transcript detection panel - Blood or Tissue by Molecular genetics method";"52135-1";Permintaan;;-;;Molgen;Darah
Histone Ab [Presence] in Serum by Immunofluorescence;"5217-5";Permintaan & Hasil;Ordinal;Ord;;IF;Serum
HTLV I+II Ab [Units/volume] in Serum by Immunoassay;"5226-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Jo-1 extractable nuclear Ab [Presence] in Serum by Immunoassay;"5234-0";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Measles virus IgG Ab [Units/volume] in Serum by Immunoassay;"5244-9";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Vancomycin [Susceptibility] by Minimum inhibitory concentration (MIC);"524-9";Hasil;OrdQn;OrdQn;;MIC;Isolat
Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay;"5255-5";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Vancomycin [Susceptibility] by Disk diffusion (KB);"525-6";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay;"5256-3";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Mycoplasma pneumoniae IgM Ab [Presence] in Serum by Immunoassay;"5257-1";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
PCNA extractable nuclear Ab [Presence] in Serum by Immunoassay;"5275-3";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Reagin Ab [Presence] in Serum by VDRL;"5292-8";Permintaan & Hasil;Ordinal;Ord;;VDRL;Serum
Reagin Ab [Presence] in Serum by VDRL;"5292-8";Permintaan & Hasil;Ordinal;Ord;;VDRL;Serum
Bacteria identified in Anal by Culture;"52966-9";Permintaan & Hasil;Nominal;Nom;;Culture;Swab rektal
Bacteria identified in Anal by Culture;"52966-9";Permintaan & Hasil;Nominal;Nom;;Culture;Swab rektal
Rheumatoid factor [Presence] in Serum by Latex agglutination;"5297-7";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay;"52984-2";Permintaan & Hasil;Quantitative;Qn;%;IA;Serum
PM-SCL extractable nuclear Ab [Presence] in Serum by Immunofluorescence;"53007-1";Permintaan & Hasil;Ordinal;Ord;;IF;Serum
Neutrophil Cytoplasmic Ab atypical [Titer] in Serum by Immunofluorescence;"53012-1";Permintaan & Hasil;Quantitative;Qn;{titer};IF;Serum
Nucleosome Ab [Presence] in Serum;"53015-4";Permintaan & Hasil;Ordinal;Ord;;;Serum
Cyclic citrullinated peptide Ab [Units/volume] in Serum;"53027-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Rickettsia (Proteus OX19) Ab [Presence] in Serum by Latex agglutination;"5303-3";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Rickettsia (Proteus OXK) Ab [Presence] in Serum by Latex agglutination;"5305-8";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Ketones [Moles/volume] in Blood;"53061-8";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah 
Mycobacterium tuberculosis DNA [#/volume] in Specimen by NAA with probe detection;"53257-2";Permintaan & Hasil;Quantitative;Qn;{copies}/mL;Probe.amp.tar;Sputum
Mycobacterium tuberculosis DNA [#/volume] in Specimen by NAA with probe detection;"53257-2";Permintaan & Hasil;Quantitative;Qn;{copies}/mL;Probe.amp.tar;Sputum
Mycobacterium sp identified in Blood by Organism specific culture;"533-0";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Serum/Plasma
Casts [Presence] in Urine by Automated;"53320-8";Hasil;Ordinal;Ord;;Automated;Urine
Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5334-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5334-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Rubella virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5334-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay;"5335-5";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay;"5335-5";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Rubella virus IgM Ab [Units/volume] in Serum by Immunoassay;"5335-5";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Hepatitis C virus IgM Ab [Units/volume] in Serum;"53376-0";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Salmonella paratyphi A H Ab [Presence] in Serum by Latex agglutination;"5339-7";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella paratyphi A O Ab [Presence] in Serum by Latex agglutination;"5340-5";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella paratyphi B H Ab [Presence] in Serum by Latex agglutination;"5341-3";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella paratyphi B O Ab [Presence] in Serum by Latex agglutination;"5342-1";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella paratyphi C H Ab [Presence] in Serum by Latex agglutination;"5343-9";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella paratyphi C O Ab [Presence] in Serum by Latex agglutination;"5344-7";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella typhi H Ab [Presence] in Serum by Latex agglutination;"5345-4";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Salmonella typhi O Ab [Presence] in Serum by Latex agglutination;"5346-2";Permintaan & Hasil;Ordinal;Ord;;LA;Serum
Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay;"5351-2";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay;"5353-8";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Erythrocytes.Plasmodium sp infected/100 erythrocytes in Blood;"53556-7";Permintaan & Hasil;Quantitative;Qn;%;;Darah
Smith extractable nuclear Ab [Presence] in Serum by Immunoassay;"5356-1";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Smooth muscle Ab [Titer] in Serum by Immunofluorescence;"5358-7";Permintaan & Hasil;Quantitative;Qn;{titer};IF;Serum
Bacteria identified in Duodenal fluid by Aerobe culture;"53617-7";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Cairan duodenum
Spermatozoa Ab [Units/volume] in Serum;"5362-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Streptolysin O Ab [Units/volume] in Serum or Plasma;"5370-2";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Mycobacterium sp identified in Peritoneal fluid by Organism specific culture;"537-1";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Cairan asites
Prostate specific Ag panel - Serum or Plasma;"53764-7";Permintaan & Hasil;Quantitative;-;;;Serum
Thyrotropin receptor Ab [Units/volume] in Serum;"5385-0";Permintaan & Hasil;Quantitative;Qn;[IU]/L;;Serum
Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5388-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5388-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Toxoplasma gondii IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;"5388-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay;"5390-0";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay;"5390-0";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Toxoplasma gondii IgM Ab [Units/volume] in Serum by Immunoassay;"5390-0";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Mycobacterium sp identified in Pleural fluid by Organism specific culture;"53909-8";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Cairan pleura
Bacteria identified in Bile fluid by Culture;"53911-4";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan empedu
Lactate dehydrogenase in pericardial fluid/Lactate dehydrogenase in serum;"53933-8";Hasil;Quantitative;Qn;{ratio};;Cairan perikardial
Lactate dehydrogenase in peritoneal fluid/Lactate dehydrogenase in serum;"53934-6";Permintaan & Hasil;Quantitative;Qn;{ratio};;Cairan peritoneal
Salmonella typhi [Identifier] in Isolate by Agglutination;"53956-9";Permintaan & Hasil;Nominal;Nom;;Aggl;Serum
Mycobacterium sp identified in Sputum by Organism specific culture;"539-7";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Sputum
Centromere protein B Ab [Presence] in Serum;"53981-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Mutated citrullinated vimentin Ab [Units/volume] in Serum;"54022-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mutated citrullinated vimentin Ab [Units/volume] in Serum;"54022-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mutated citrullinated vimentin Ab [Units/volume] in Serum;"54022-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mutated citrullinated vimentin Ab [Units/volume] in Serum;"54022-9";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay;"5403-1";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Varicella zoster virus IgM Ab [Units/volume] in Serum by Immunoassay;"5404-9";Permintaan & Hasil;Quantitative;Qn;"[arb'U]/mL;{Index_val}";IA;Serum
Mycobacterium sp identified in Urine by Organism specific culture;"541-3";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Urine
Mycobacterium tuberculosis IgG Ab [Units/volume] in Serum by Immunoassay;"54146-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Posaconazole [Susceptibility];"54188-8";Permintaan & Hasil;OrdQn;OrdQn;;;Isolat
CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood;"54218-3";Permintaan & Hasil;Quantitative;Qn;%;;Darah
Semen analysis fertility panel;"54231-6";Permintaan;;-;;;Sperma
Mycobacterium sp identified in Specimen by Organism specific culture;"543-9";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Pus
Mycobacterium sp identified in Specimen by Organism specific culture;"543-9";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Feses
Mycobacterium sp identified in Specimen by Organism specific culture;"543-9";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Lain-lain
Mycobacterium sp identified in Specimen by Organism specific culture;"543-9";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Swab
Cholesterol/Total in Stone;"54438-7";Hasil;Quantitative;Qn;%;;Batu empedu
DNA double strand Ab [Units/volume] in Serum by Immunofluorescence;"54910-5";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IF;Serum
HTLV I+II Ab panel - Serum;"55162-2";Permintaan;;-;;;Serum
Human epididymis protein 4 [Moles/volume] in Serum or Plasma;"55180-4";Permintaan & Hasil;Quantitative;Qn;pmol/L;;Serum
Human epididymis protein 4 [Moles/volume] in Serum or Plasma;"55180-4";Permintaan & Hasil;Quantitative;Qn;pmol/L;;Serum
Cefotaxime [Susceptibility] for meningitis by Disk diffusion (KB);"55189-5";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Carbohydrates [Presence] in Stool;"55221-6";Permintaan & Hasil;Ordinal;Ord;;;Feses
Mycobacterium tuberculosis A60 Ab [Presence] in Serum by Immunoassay;"55224-0";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Mycobacterium tuberculosis A60 Ab [Presence] in Serum by Immunoassay;"55224-0";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Electrolytes panel - Blood;"55231-5";Permintaan;Quantitative;Qn;;;Darah
Microscopic observation [Identifier] in Pleural fluid by Cyto stain;"55602-7";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Cairan pleura
Acetone [Mass/volume] in Serum or Plasma;"5568-1";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Aluminum [Mass/mass] in Hair;"5573-1";Permintaan & Hasil;Quantitative;Qn;ug/g;;Rambut
Arsenic [Mass/volume] in Blood;"5583-0";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Darah
Vegetable fibers [Presence] in Stool by Light microscopy;"55835-3";Hasil;Ordinal;Ord;;Microscopy.light;Feses
Arsenic [Mass/volume] in Serum or Plasma;"5585-5";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Arsenic [Mass/volume] in Urine;"5586-3";Permintaan & Hasil;Quantitative;Qn;ug/L;;Urine
Immunoglobulin light chains.free [Presence] in Serum by Immunofixation;"55898-1";Permintaan & Hasil;Ordinal;Ord;;Immunofixation;Serum
Platelet aggregation ADP induced in Blood --5 umol/L;"56005-2";Hasil;Quantitative;Qn;;;Serum/Plasma
Platelet aggregation ADP induced in Blood --10 umol/L;"56006-0";Hasil;Quantitative;Qn;;;Serum/Plasma
Doripenem [Susceptibility] by Minimum inhibitory concentration (MIC);"56031-8";Permintaan & Hasil;OrdQn;OrdQn;;MIC;Isolat
Cadmium [Mass/volume] in Blood;"5609-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Cadmium [Mass/mass] in Hair;"5610-1";Permintaan & Hasil;Quantitative;Qn;ug/g;;Rambut
Cadmium [Mass/volume] in Urine;"5611-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Urine
Chromium [Mass/volume] in Blood;"5619-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah
Chromium [Mass/volume] in Blood;"5619-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah
Chromium [Mass/volume] in Blood;"5619-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah
Chromium [Mass/volume] in Serum or Plasma;"5622-6";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Chromium [Mass/volume] in Serum or Plasma;"5622-6";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Chromium [Mass/volume] in Serum or Plasma;"5622-6";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Cobalt [Mass/volume] in Blood;"5625-9";Permintaan & Hasil;Quantitative;Qn;ug/L;;Darah
Cobalt [Mass/volume] in Blood;"5625-9";Permintaan & Hasil;Quantitative;Qn;ug/L;;Darah
Cobalt [Mass/volume] in Serum or Plasma;"5627-5";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Cobalt [Mass/volume] in Serum or Plasma;"5627-5";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Copper [Mass/volume] in Serum or Plasma;"5631-7";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum/Plasma
Cyanide [Mass/volume] in Blood;"5634-1";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Darah
Cyanide [Mass/volume] in Serum or Plasma;"5635-8";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum/Plasma
Ethanol [Mass/volume] in Serum or Plasma;"5643-2";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Ethanol [Presence] in Urine;"5644-0";Permintaan & Hasil;Ordinal;Ord;;;Urine
Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay;"56477-3";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Thyroperoxidase Ab [Units/volume] in Serum or Plasma by Immunoassay;"56477-3";Permintaan & Hasil;Quantitative;Qn;{Index_val};IA;Serum
Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay;"56536-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay;"56536-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Somatotropin [Mass/volume] in Serum or Plasma --post exercise;"56571-3";Hasil;Quantitative;Qn;ng/mL;;Serum
Somatotropin [Mass/volume] in Serum or Plasma --post exercise;"56571-3";Hasil;Quantitative;Qn;ng/mL;;Serum
Somatotropin [Mass/volume] in Serum or Plasma --post exercise;"56571-3";Hasil;Quantitative;Qn;ng/mL;;Serum
Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay;"56598-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;IA;Serum
Isopropanol [Presence] in Urine;"5670-5";Permintaan & Hasil;Ordinal;Ord;;;Urine
Lead [Mass/mass] in Hair;"5673-9";Permintaan & Hasil;Quantitative;Qn;ug/g;;Rambut
Lead [Mass/volume] in Urine;"5676-2";Permintaan & Hasil;Quantitative;Qn;ug/L;;Urine
Manganese [Mass/volume] in Blood;"5681-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah
Manganese [Mass/volume] in Serum or Plasma;"5683-8";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Mercury [Mass/volume] in Blood;"5685-3";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Darah
Fungus identified in Aspirate by Culture;"568-6";Permintaan & Hasil;Nominal;Nom;;Culture;Aspirat
Mercury [Mass/volume] in Serum or Plasma;"5687-9";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
HIV 1+2 Ab+HIV1 p24 Ag [Presence] in Serum or Plasma by Immunoassay;"56888-1";Permintaan & Hasil;Ordinal ;Ord;;IA;Serum/Plasma 
Entamoeba histolytica Ab [Presence] in Serum by Immunofluorescence;"56921-0";Permintaan & Hasil;Ordinal;Ord;;IF;Serum
Fungus identified in Cerebral spinal fluid by Culture;"569-4";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan otak
Inhibin B [Mass/volume] in Serum or Plasma by Immunoassay;"56940-0";Permintaan & Hasil;Quantitative;Qn;pg/mL;IA;Serum
Methanol [Presence] in Urine;"5694-5";Permintaan & Hasil;Ordinal;Ord;;;Urine
Molybdenum [Mass/volume] in Blood;"5696-0";Permintaan & Hasil;Quantitative;Qn;ug/L;;Darah
Molybdenum [Mass/volume] in Serum or Plasma;"5698-6";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Toxoplasma gondii IgG Ab avidity [Ratio] in Serum by Immunoassay;"56990-5";Permintaan & Hasil;Quantitative;Qn;%;IA;Serum
Toxoplasma gondii IgG Ab avidity [Ratio] in Serum by Immunoassay;"56990-5";Permintaan & Hasil;Quantitative;Qn;%;IA;Serum
Toxoplasma gondii IgG Ab avidity [Presence] in Serum or Plasma by Immunoassay;"56991-3";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Urea/Creatinine [Mass Ratio] in Serum or Plasma;"56997-0";Hasil;Quantitative;Qn;mg/g{creat};;Serum
Nickel [Mass/volume] in Blood;"5700-0";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Darah
Fungus identified in Body fluid by Culture;"570-2";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan tubuh
CBC W Auto Differential panel - Blood;"57021-8";Permintaan;Quantitative;Qn;;;Darah
CBC W Reflex Manual Differential panel - Blood;"57022-6";Permintaan;Quantitative;Qn;;;Darah
Nickel [Mass/volume] in Serum or Plasma;"5702-6";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Serum/Plasma
Anidulafungin [Susceptibility];"57095-2";Hasil;OrdQn;OrdQn;;;Isolat
Fungus identified in Hair by Culture;"571-0";Permintaan & Hasil;Nominal;Nom;;Culture;Rambut
Selenium [Mass/volume] in Blood;"5722-4";Permintaan & Hasil;Quantitative;Qn;ug/L;;Darah
Selenium [Mass/volume] in Serum or Plasma;"5724-0";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum/Plasma
Fungus identified in Bone marrow by Culture;"572-8";Permintaan & Hasil;Nominal;Nom;;Culture;Sumsum tulang
Fungus identified in Nail by Culture;"573-6";Permintaan & Hasil;Nominal;Nom;;Culture;Kuku
Enolase.neuron specific [Mass/volume] in Serum or Plasma by Immunoassay;"57371-7";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Thyrotropin receptor Ab [Units/volume] in Serum by Immunoassay;"57416-0";Permintaan & Hasil;Quantitative;Qn;m[IU]/mL;IA;Serum
Fungus identified in Peritoneal fluid by Culture;"574-4";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan peritoneal
Toluene [Mass/volume] in Serum or Plasma;"5750-5";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Urine
Fungus identified in Skin by Culture;"575-1";Permintaan & Hasil;Nominal;Nom;;Culture;Kulit
Vanadium [Mass/volume] in Blood;"5753-9";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Vanadium [Mass/volume] in Blood;"5753-9";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Vanadium [Mass/volume] in Serum or Plasma;"5756-2";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Vanadium [Mass/volume] in Serum or Plasma;"5756-2";Permintaan & Hasil;Quantitative;Qn;ug/L;;Serum/Plasma
Zinc [Mass/volume] in Serum or Plasma;"5763-8";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Serum
Zinc [Mass/volume] in Serum or Plasma;"5763-8";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Serum
Zinc [Mass/volume] in Serum or Plasma;"5763-8";Permintaan & Hasil;Quantitative;Qn;ug/mL;;Serum
Zinc [Mass/volume] in Urine;"5764-6";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Urine
Fungus identified in Synovial fluid by Culture;"576-9";Permintaan & Hasil;Nominal;Nom;;Culture;Cairan sinovial
Bilirubin.total [Presence] in Urine by Test strip;"5770-3";Hasil;Ordinal;Ord;;Test strip;Urine
Protein [Presence] in Urine by Automated test strip;"57735-3";Hasil;Ordinal;Ord;;Test strip.automated;Urine
Protein [Presence] in Urine by Automated test strip;"57735-3";Hasil;Ordinal;Ord;;Test strip.automated;Urine
ABO group [Type] in Blood by Confirmatory method;"57743-7";Permintaan & Hasil;Nominal;Nom;;Confirm;Darah
Fungus identified in Sputum by Culture;"577-7";Permintaan & Hasil;Nominal;Nom;;Culture;Sputum
Color of Urine;"5778-6";Hasil;Nominal;Nom;;;Urine
Crystals [type] in Synovial fluid by Light microscopy;"5781-0";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Cairan sendi
Crystals [type] in Urine sediment by Light microscopy;"5782-8";Permintaan & Hasil;Nominal;Nom;;Microscopy.light;Urine
dRVVT W excess phospholipid (LA confirm);"57838-5";Permintaan & Hasil;Quantitative;Qn;s;;Plasma
Leukocytes [#/volume] in Body fluid by Automated count;"57845-0";Permintaan & Hasil;Quantitative;Qn;"10*3/uL";Automated count;Cairan tubuh
Fungus identified in Tissue by Culture;"578-5";Permintaan & Hasil;Nominal;Nom;;Culture;Jaringan
Epithelial cells [#/area] in Urine sediment by Microscopy high power field;"5787-7";Hasil;Quantitative;Qn;/[HPF];Microscopy.light.HPF;Urine
Oval fat bodies (globules) [#/area] in Urine sediment by Microscopy high power field;"5788-5";Hasil;Quantitative;Qn;/[HPF];Microscopy.light.HPF;Urine
Clostridioides difficile glutamate dehydrogenase [Presence] in Stool;"57901-1";Permintaan & Hasil;Ordinal;Ord;;;Feses
Fungus identified in Wound by Culture;"579-3";Permintaan & Hasil;Nominal;Nom;;Culture;Luka
Chikungunya virus IgM Ab [Presence] in Serum or Plasma;"57934-2";Permintaan & Hasil;Ordinal;Ord;;;Serum
Hemoglobin [Presence] in Urine by Test strip;"5794-3";Hasil;Ordinal;Ord;;Test strip;Urine
Ketones [Mass/volume] in Urine by Test strip;"5797-6";Permintaan & Hasil;Quantitative;Qn;mg/dL;Test strip;Urine
Leukocyte esterase [Presence] in Urine by Test strip;"5799-2";Hasil;Ordinal;Ord;;Test strip;Urine
Fungus identified in Specimen by Culture;"580-1";Permintaan & Hasil;Nominal;Nom;;Culture;Spesimen
Nitrite [Presence] in Urine by Test strip;"5802-4";Hasil;Ordinal;Ord;;Test strip;Urine
pH of Urine by Test strip;"5803-2";Permintaan & Hasil;Quantitative;Qn;[pH];Test strip;Urine
Protein [Mass/volume] in Urine by Test strip;"5804-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;Test strip;Urine
Protein [Mass/volume] in Urine by Test strip;"5804-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;Test strip;Urine
Specific gravity of Urine by Test strip;"5811-5";Permintaan & Hasil;Quantitative;Qn;{Spec grav};Test strip;Urine
Leukocytes [#/area] in Urine sediment by Microscopy high power field;"5821-4";Hasil;Quantitative;Qn;/[HPF];Microscopy.light.HPF;Urine
CBC panel - Blood by Automated count;"58410-2";Permintaan;;-;;Automated count;Darah
Carisoprodol [Presence] in Urine by Confirmatory method;"58426-8";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Urine
Microalbumin panel - 24 hour Urine;"58431-8";Permintaan;;-;;;Urine 24 jam
Crystals panel - Urine sediment;"58433-4";Permintaan;Quantitative;Qn;;;Urine
Microorganisms panel - Urine sediment;"58435-9";Permintaan;;-;;;Urine
