No,Permintaan/Hasil,Tipe hasil pemeriksaan,LOINC Code,Nama Pemeriksaan,Answer List ,Code,Code System ,Keterangan 
1103,Hasil,Nominal,X099171,Bau batu ginjal,,,,
,,,,,,,,
1104,Hasil,Nominal,9801-2,Bentuk batu ginjal,Round shape,LA30557-5,http://loinc.org,
,,,,,Rectangular,LA30493-3,http://loinc.org,
,,,,,Square,LA9203-6,http://loinc.org,
1105,Hasil,Quantitative,9798-0,Ukuran batu ginjal,,,,
1106,Hasil,Quantitative,9799-8,Ukuran batu ginjal,,,,
1107,Hasil,Quantitative,9805-3,Ukuran batu ginjal,,,,
1108,Hasil,Quantitative,9802-0,Ukuran batu ginjal,,,,
1109,Hasil,Quantitative,32156-2,Karbonat batu ginjal,,,,
1110,Hasil,Quantitative,X099172,Kalsium batu ginjal,,,,
1111,Hasil,Quantitative,32157-0,Oksalat batu ginjal,,,,
1112,Hasil,Quantitative,X099173,Magnesium batu ginjal,,,,
1113,Hasil,Quantitative,X099174,Fosfat batu ginjal,,,,
1114,Hasil,Quantitative,32149-7,Asam urat batu ginjal,,,,
1115,Hasil,Quantitative,32138-0,Sistin (Cystine) batu ginjal,,,,
1116,Hasil,Quantitative,32157-0,Kalsium oksalat batu ginjal,,,,
1117,Hasil,Quantitative,32143-0,Struvite batu ginjal,,,,
1118,Hasil,Quantitative,40998-7,Brushite batu ginjal,,,,
1119,Hasil,Quantitative,32159-6,Apatite batu ginjal,,,,
1120,Hasil,Quantitative,38191-3,Amonium urat batu ginjal,,,,
1121,Hasil,Quantitative,32143-0,Asam urat bebas batu ginjal,,,,
1122,Hasil,Quantitative,X099175,Amonium batu ginjal,,,,
1123,Hasil,Narrative,X099176,Kesimpulan batu ginjal,,,,
1124,Permintaan,,54231-6,Analisis sperma,,,,
1125,Hasil,Quantitative,X099177,Lama menikah,,,,
1126,Hasil,Quantitative,63572-2,Sampel diterima,,,,
1127,Hasil,Quantitative,10587-4,Abstinensia,,,,
1128,Hasil,Nominal,34696-5,Pengeluaran,Masturbation,,http://snomed.info/sct,
,,,,,,,,
1129,Hasil,Quantitative,X099178,Diperiksa,,,,
1130,Hasil,Nominal,10569-2,Warna semen,Grey ,LA15554-1,http://loinc.org,
,,,,,Other,LA46-8,http://loinc.org,
1131,Hasil,Nominal,X099179,Bau semen,Fishy,LA25303-1,http://loinc.org,
,,,,,,,,
1132,Hasil,Quantitative,10580-9,Likuefaksi,,,,
1133,Permintaan & Hasil,Ordinal,32789-0,Viskositas,Viscous,LA19069-6,http://loinc.org,
,,,,,Mildly viscous,LA19790-7,http://loinc.org,
,,,,,Slightly viscous,LA19789-9,http://loinc.org,
,,,,,Watery,LA19782-4,http://loinc.org,
,,,,,Liquified,LA19791-5,http://loinc.org,
1134,Hasil,Quantitative,3160-9,Volume,,,,
1135,Permintaan & Hasil,Quantitative,2752-4,pH semen,,,,
1136,Hasil,Quantitative,58767-5,Eritrosit,,,,
1137,Permintaan,,4463-6,Pergerakan,,,,
1138,Hasil,Quantitative,10624-5,Gerakan cepat,,,,
1139,Hasil,Quantitative,10626-0,Gerakan lambat,,,,
1140,Hasil,Quantitative,10620-3,Bergerak ditempat,,,,
1141,Hasil,Quantitative,10611-2,Tidak bergerak,,,,
1142,Hasil,Quantitative,14194-5,Progresive (PR),,,,
1143,Hasil,Quantitative,10620-3,Non progresive (NP),,,,
1144,Hasil,Quantitative,10611-2,Immotile (IM),,,,
1145,Hasil,Quantitative,6800-7,Motilitas,,,,
1146,Hasil,Quantitative,10613-8,Uji viabilitas,,,,
1147,Permintaan & Hasil,Quantitative,9780-8,Konsentrasi,,,,
1148,Hasil,Quantitative,72517-6,Jumlah total,,,,
1149,Hasil,Quantitative,10579-1,Leukosit,,,,
1150,Permintaan & Hasil,Ordinal,33217-1,Aglutinasi,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
1151,Hasil,Ordinal,81138-0,Agregasi sperma,None seen,LA20667-4,http://loinc.org,
,,,,,Present,LA9633-4,http://loinc.org,
1152,Hasil,Quantitative,X099180,Sel spermiogenesis,,,,
1153,Permintaan,,48812-2,Morfologi semen,,,,
1154,Hasil,Quantitative,10622-9,Normal,,,,
1155,Hasil,Quantitative,15376-7,Abnormal,,,,
1156,Hasil,Quantitative,10602-1,Kelainan kepala,,,,
1157,Hasil,Quantitative,10594-0,Tapered,,,,
1158,Hasil,Quantitative,10593-2,Piriformis,,,,
1159,Hasil,Quantitative,10625-2,Round,,,,
1160,Hasil,Quantitative,10606-2,Amorf,,,,
1161,Hasil,Quantitative,10629-4,Vakuola,,,,
1162,Hasil,Quantitative,66494-6,Defek akrosom,,,,
1163,Hasil,Quantitative,X099181,Akrosomal kecil,,,,
1164,Hasil,Quantitative,X099182,Akrosomal besar,,,,
1165,Hasil,Quantitative,10603-9,Kelainan leher,,,,
1166,Hasil,Quantitative,10604-7,Kelainan ekor,,,,
1167,Permintaan & Hasil,Quantitative,90047-2,Sisa sitoplasmik,,,,
1168,Permintaan & Hasil,Quantitative,2295-4,Fruktosa,,,,
1169,Hasil,Narrative,48767-8,Kesan morfologi sperma,,,,
1170,Hasil,Narrative,48767-8,Kesan jumlah sperma,,,,
1171,Hasil,Narrative,X099183,Kesimpulan,,,,
1172,Hasil,Narrative,48767-8,Kesan,,,,
1173,Hasil,Narrative,X099111,Saran,,,,
1174,Permintaan & Hasil,Ordinal,32626-4,IgG Anti Spermatozoa,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
1175,Permintaan,Quantitative,X099184,Direct Mixed Antiglobulin Reaction (Direct MAR),,,,
1176,Hasil,Quantitative,10617-9,Direct Mixed Antiglobulin Reaction (Direct MAR),,,,
1177,Hasil,Quantitative,X099185,Indirect Mixed Antiglobulin Reaction (Indirect MAR),,,,
1178,Hasil,Quantitative,10617-9,Indirect Mixed Antiglobulin Reaction (Indirect MAR),,,,
1179,Permintaan & Hasil,Quantitative,X099186,Uji Fragmentasi DNA,,,,
1180,Permintaan,,X099187,Pemeriksaan feses lengkap,,,,
1181,Hasil,Nominal,9397-1,Warna feses,Clay-colored,LA25014-4,http://loinc.org,
,,,,,"Black, tarry",LA25015-1,http://loinc.org,
,,,,,Blood-tinged,LA25016-9,http://loinc.org,
,,,,,"Blood, frank",LA25017-7,http://loinc.org,
,,,,,Bright red stool,LA25018-5,http://loinc.org,
,,,,,Dark red stool,LA25019-3,http://loinc.org,
,,,,,Brown,LA19058-9,http://loinc.org,
,,,,,Green,LA15555-8,http://loinc.org,
,,,,,Yellow,LA17195-1,http://loinc.org,
,,,,,Orange stool,LA25023-5,http://loinc.org,
,,,,,Red streaked stool,LA25024-3,http://loinc.org,
1182,Hasil,Nominal,11029-6,Konsistensi,Normal,LA6626-1,http://loinc.org,
,,,,,Soft,LA14744-9,http://loinc.org,
,,,,,Clots present,LA25074-8,http://loinc.org,
,,,,,Creamy,LA25075-5,http://loinc.org,
,,,,,Dry,LA17199-3,http://loinc.org,
,,,,,Frothy,LA25078-9,http://loinc.org,
,,,,,Hard,LA14745-6,http://loinc.org,
,,,,,Liquid,LA25011-0,http://loinc.org,
,,,,,Loose,LA25012-8,http://loinc.org,
,,,,,Mucoid,LA25082-1,http://loinc.org,
,,,,,Seedy,LA25083-9,http://loinc.org,
,,,,,Tarry,LA25084-7,http://loinc.org,
1183,Permintaan & Hasil,Ordinal,42524-9,Lendir,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1184,Hasil,Ordinal,41278-3,Darah,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1185,Hasil,Ordinal,X099188,Pus feses,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1186,Hasil,Ordinal,X099189,Berminyak,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1187,Hasil,Ordinal,X099190,Berbusa,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1188,Hasil,Nominal,X099191,Bau feses,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1189,Hasil,Quantitative,51770-6,Leukosit,,,,
1190,Hasil,Quantitative,X099192,Eritrosit feses,,,,
1191,Permintaan & Hasil,Nominal,10704-5,Parasit,Angiostrongylus cantonensis,48708001,http://snomed.info/sct,
,,,,,Anisakis,35458008,http://snomed.info/sct,
,,,,,Ascaris lumbricoides,LA29497-7,http://loinc.org,
,,,,,Balantidium coli,68532001,http://snomed.info/sct,
,,,,,Blastocystis hominis,LA19274-2,http://loinc.org,
,,,,,Brugia malayi,112443002,http://snomed.info/sct,
,,,,,Capillaria hepatica,5782007,http://snomed.info/sct,
,,,,,Capillaria philippinensis,51556005,http://snomed.info/sct,
,,,,,Dirofilaria,57824004,http://snomed.info/sct,
,,,,,Echinococcus,47622006,http://snomed.info/sct,
,,,,,Entamoeba histolytica,LA18481-4,http://loinc.org,
,,,,,Enterobius vermicularis,55008000,http://snomed.info/sct,
,,,,,Free living Amoeba,416145003,http://snomed.info/sct,
,,,,,Gnathostoma spp.,33999009,http://snomed.info/sct,
,,,,,Hookworm,359762003,http://snomed.info/sct,
,,,,,Leishmania,79357004,http://snomed.info/sct,
,,,,,Loa loa,LA22704-3,http://loinc.org,
,,,,,Mansonella,21881004,http://snomed.info/sct,
,,,,,Paragonimus spp.,40294009,http://snomed.info/sct,
,,,,,Strongyloides stercoralis,LA28386-3,http://loinc.org,
,,,,,Taenia spp.,28625000,http://snomed.info/sct,
,,,,,Toxoplasma gondii,4649006,http://snomed.info/sct,
,,,,,Trichinella spiralis,16439004,http://snomed.info/sct,
,,,,,Trichuris trichiura,LA29501-6,http://loinc.org,
,,,,,Trypanosoma,40740003,http://snomed.info/sct,
,,,,,Wuchereria bancrofti,84925004,http://snomed.info/sct,
,,,,,,,,
1192,Hasil,Ordinal,X099193,Bakteri,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1193,Permintaan & Hasil,Ordinal,2270-7,Lemak,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1194,Hasil,Ordinal,55835-3,Serat tumbuhan,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1195,Permintaan & Hasil,Ordinal,2605-4,Serat otot,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1196,Permintaan & Hasil,Ordinal,2605-4,Serat daging,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1197,Permintaan & Hasil,Ordinal,42902-7,Amilum,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1198,Permintaan & Hasil,Nominal,10704-5,Kista,,,,
1199,Permintaan & Hasil,Nominal,10704-5,Telur cacing,,,,
1200,Permintaan & Hasil,Ordinal,X099194,Sisa makanan,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1201,Hasil,Ordinal,17773-3,Sel ragi,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1202,Hasil,Narrative,X099195,Lain-lain,,,,
1203,Permintaan & Hasil,Quantitative,2755-7,pH feses,,,,
1204,Permintaan & Hasil,Ordinal,51595-7,Glukosa feses,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1205,Permintaan & Hasil,Ordinal,11060-1,Zat pereduksi (Reducing substance),Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1206,Permintaan & Hasil,Nominal,649-4,Pengecatan gram,None detected,LA19544-8,http://loinc.org,
,,,,,Escherichia coli,LA21335-7,http://loinc.org,
,,,,,Klebsiella pneumoniae,LA21336-5,http://loinc.org,
,,,,,Salmonella sp,LA21368-8,http://loinc.org,
,,,,,Pseudomonas aeruginosa,LA19340-1,http://loinc.org,
,,,,,Enterobacter cloacae,LA21369-6,http://loinc.org,
,,,,,Coliforms,LA30663-1,http://loinc.org,
,,,,,Other gram negative bacterium,LA30666-4,http://loinc.org,
,,,,,Staphylococcus aureus,LA19246-0,http://loinc.org,
1207,Permintaan & Hasil,Nominal,649-4,Mikroorganisme,None detected,LA19544-8,http://loinc.org,
,,,,,Escherichia coli,LA21335-7,http://loinc.org,
,,,,,Klebsiella pneumoniae,LA21336-5,http://loinc.org,
,,,,,Salmonella sp,LA21368-8,http://loinc.org,
,,,,,Pseudomonas aeruginosa,LA19340-1,http://loinc.org,
,,,,,Enterobacter cloacae,LA21369-6,http://loinc.org,
,,,,,Coliforms,LA30663-1,http://loinc.org,
,,,,,Other gram negative bacterium,LA30666-4,http://loinc.org,
,,,,,Staphylococcus aureus,LA19246-0,http://loinc.org,
1208,Hasil,Ordinal,41186-8,Jamur,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
1209,Hasil,Narrative,48767-8,Kesan,,,,
1210,Permintaan & Hasil,Ordinal,14563-1,Darah samar tinja (Occult blood test),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
1211,Permintaan & Hasil,Nominal,10704-5,Floating test,,,,
,,,,,,,,
,,,,,,,,
1212,Permintaan & Hasil,Ordinal,11060-1,Clinitest,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,,,,
1213,Permintaan & Hasil,Quantitative,47739-8,Protein feses,,,,
1214,Permintaan & Hasil,Ordinal,2969-4,Sterkobilin,Present,,,
,,,,,Absent,,,
1215,Permintaan & Hasil,Quantitative,38445-3,Kalprotektin,,,,
1216,Permintaan & Hasil,Quantitative,49765-1,Kalsium,,,,
1217,Permintaan & Hasil,Quantitative,17861-6,Kalsium,,,,
1218,Permintaan & Hasil,Quantitative,17861-6,Kalsium,,,,
1219,Permintaan & Hasil,Quantitative,1994-3,Ion kalsium,,,,
1220,Permintaan & Hasil,Quantitative,47596-2,Ion kalsium,,,,
1221,Permintaan & Hasil,Quantitative,17862-4,Kalsium urine,,,,
1222,Permintaan & Hasil,Quantitative,6874-2,Kalsium urine 24 jam,,,,
1223,Permintaan & Hasil,Quantitative,6874-2,Kalsium urine 24 jam,,,,
1224,Permintaan & Hasil,Quantitative,6874-2,Kalsium urine 24 jam,,,,
1225,Permintaan & Hasil,Quantitative,6874-2,Kalsium urine 24 jam,,,,
1226,Hasil,Quantitative,28009-9,Volume urine,,,,
1227,Permintaan,Quantitative,55231-5,"Elektrolit (Na, K, Cl)",,,,
1228,Permintaan & Hasil,Quantitative,2947-0,Natrium,,,,
1229,Permintaan & Hasil,Quantitative,6298-4,Kalium,,,,
1230,Permintaan & Hasil,Quantitative,2069-3,Klorida,,,,
1231,Permintaan,Quantitative,75667-6,Elektrolit urine 24 jam,,,,
1232,Permintaan & Hasil,Quantitative,2956-1,Natrium urine 24 jam,,,,
1233,Permintaan & Hasil,Quantitative,18377-2,Natrium urine 12 jam,,,,
1234,Permintaan & Hasil,Quantitative,2829-0,Kalium urine 24 jam,,,,
1235,Permintaan & Hasil,Quantitative,2079-2,Klorida urine 24 jam,,,,
1236,Permintaan & Hasil,Quantitative,2079-2,Klorida urine 24 jam,,,,
1237,Permintaan,Quantitative,24329-5,Elektrolit urine sewaktu,,,,
1238,Permintaan & Hasil,Quantitative,2955-3,Natrium urine,,,,
1239,Permintaan & Hasil,Quantitative,2828-2,Kalium urine,,,,
1240,Permintaan & Hasil,Quantitative,2828-2,Kalium urine,,,,
1241,Permintaan & Hasil,Quantitative,2078-4,Klorida urine,,,,
1242,Permintaan & Hasil,Quantitative,2777-1,Fosfat inorganik darah,,,,
1243,Permintaan & Hasil,Quantitative,2777-1,Fosfat inorganik darah,,,,
1244,Permintaan & Hasil,Quantitative,2778-9,Fosfat Inorganik urine,,,,
1245,Permintaan & Hasil,Quantitative,2779-7,Fosfat inorganik urine 24 jam,,,,
1246,Permintaan & Hasil,Quantitative,2779-7,Fosfat inorganik urine 24 jam,,,,
1247,Permintaan & Hasil,Quantitative,21377-7,Magnesium (Mg),,,,
1248,Permintaan & Hasil,Quantitative,19123-9,Magnesium (Mg),,,,
1249,Permintaan & Hasil,Quantitative,19123-9,Magnesium (Mg),,,,
1250,Permintaan & Hasil,Quantitative,24447-5,Magnesium (Mg) urine 24 jam,,,,
1251,Permintaan & Hasil,Quantitative,24447-5,Magnesium (Mg) urine 24 jam,,,,
1252,Permintaan & Hasil,Quantitative,24447-5,Magnesium (Mg) urine 24 jam,,,,
1253,Permintaan & Hasil,Ordinal,44835-7,Fosfatase asam,Present,LA9633-4,http://loinc.org,
,,,,,Absent,LA9634-2,http://loinc.org,
1254,Permintaan & Hasil,Quantitative,16316-2,Fosfatase asam,,,,
1255,Permintaan & Hasil,Quantitative,17837-6,Fosfatase asam,,,,
1256,Permintaan & Hasil,Quantitative,32546-4,Glucose-6-Phosphate Dehydrogenase (G6PD),,,,
1257,Permintaan & Hasil,Quantitative,49925-1,Glucose-6-Phosphate Dehydrogenase (G6PD),,,,
1258,Permintaan & Hasil,Quantitative,49926-9,Glucose-6-Phosphate Dehydrogenase (G6PD),,,,
1259,Permintaan & Hasil,Quantitative,32546-4,Glucose-6-Phosphate Dehydrogenase (G6PD),,,,
1260,Permintaan & Hasil,Quantitative,33513-3,Berat jenis plasma,,,,
1261,Permintaan & Hasil,Quantitative,2165-9,Kriofibrinogen,,,,
1262,Permintaan & Hasil,Quantitative,2963-7,Growth Hormone,,,,
1263,Permintaan,Quantitative,X099196,Growth Hormone Basal,,,,
1264,Hasil,Quantitative,12253-1,Growth Hormone Basal,,,,
1265,Hasil,Quantitative,12253-1,Growth Hormone Basal,,,,
1266,Hasil,Quantitative,12253-1,Growth Hormone Basal,,,,
1267,Permintaan,Quantitative,X099197,Growth Hormone Exercise,,,,
1268,Hasil,Quantitative,56571-3,Growth Hormone Exercise,,,,
1269,Hasil,Quantitative,56571-3,Growth Hormone Exercise,,,,
1270,Hasil,Quantitative,56571-3,Growth Hormone Exercise,,,,
1271,Permintaan & Hasil,Quantitative,2143-6,Kortisol,,,,
1272,Permintaan & Hasil,Quantitative,83088-5,Kortisol,,,,
1273,Permintaan & Hasil,Quantitative,83088-5,Kortisol,,,,
1274,Permintaan & Hasil,Quantitative,2144-4,Kortisol urine,,,,
1275,Permintaan & Hasil,Quantitative,2142-8,Kortisol saliva,,,,
1276,Permintaan & Hasil,Quantitative,13903-0,Anti Diuretic Hormone (ADH),,,,
1277,Permintaan & Hasil,Quantitative,1763-2,Aldosteron,,,,
1278,Permintaan & Hasil,Quantitative,1992-7,Kalsitonin,,,,
1279,Permintaan & Hasil,Quantitative,2731-8,Hormon paratiroid,,,,
1280,Permintaan & Hasil,Quantitative,2731-8,Hormon paratiroid,,,,
1281,Permintaan & Hasil,Quantitative,2731-8,Hormon paratiroid,,,,
1282,Permintaan & Hasil,Quantitative,2731-8,Intact Parathyroid Hormone (IPTH),,,,
1283,Permintaan & Hasil,Quantitative,2731-8,Intact Parathyroid Hormone (IPTH),,,,
1284,Permintaan & Hasil,Quantitative,21198-7,Beta HCG kuantitatif,,,,
1285,Permintaan & Hasil,Quantitative,20415-6,Beta HCG kuantitatif,,,,
1286,Permintaan & Hasil,Quantitative,20415-6,Beta HCG kuantitatif,,,,
1287,Permintaan & Hasil,Quantitative,20415-6,Beta HCG kuantitatif,,,,
1288,Permintaan & Hasil,Quantitative,19180-9,Beta HCG bebas kuantitatif,,,,
1289,Permintaan & Hasil,Quantitative,19180-9,Beta HCG bebas kuantitatif,,,,
1290,Permintaan & Hasil,Quantitative,2243-4,Estradiol,,,,
1291,Permintaan & Hasil,Quantitative,83096-8,Estradiol,,,,
1292,Permintaan & Hasil,Quantitative,83096-8,Estradiol,,,,
1293,Permintaan & Hasil,Quantitative,2254-1,Estrogen total,,,,
1294,Permintaan & Hasil,Quantitative,2251-7,Estriol,,,,
1295,Permintaan & Hasil,Quantitative,15067-2,FSH,,,,
1296,Permintaan & Hasil,Quantitative,83098-4,FSH,,,,
1297,Permintaan & Hasil,Quantitative,83098-4,FSH,,,,
1298,Permintaan & Hasil,Quantitative,83098-4,FSH,,,,
1299,Permintaan & Hasil,Quantitative,10501-5,LH,,,,
1300,Permintaan & Hasil,Quantitative,83103-2,LH,,,,
1301,Permintaan & Hasil,Quantitative,83103-2,LH,,,,
1302,Permintaan & Hasil,Quantitative,83103-2,LH,,,,
1303,Permintaan & Hasil,Quantitative,83103-2,LH,,,,
1304,Hasil,Quantitative,27967-9,Progesteron baseline,,,,
1305,Permintaan & Hasil,Quantitative,2839-9,Progesteron,,,,
1306,Permintaan & Hasil,Quantitative,83109-9,Progesteron,,,,
1307,Permintaan & Hasil,Quantitative,83109-9,Progesteron,,,,
1308,Permintaan & Hasil,Quantitative,2842-3,Prolaktin,,,,
1309,Permintaan & Hasil,Quantitative,20568-2,Prolaktin,,,,
1310,Permintaan & Hasil,Quantitative,20568-2,Prolaktin,,,,
1311,Permintaan & Hasil,Quantitative,20568-2,Prolaktin,,,,
1312,Permintaan & Hasil,Quantitative,14913-8,Testosteron,,,,
1313,Permintaan & Hasil,Quantitative,2986-8,Testosteron,,,,
1314,Permintaan & Hasil,Quantitative,83116-4,Testosteron,,,,
1315,Permintaan & Hasil,Quantitative,83116-4,Testosteron,,,,
1316,Permintaan & Hasil,Quantitative,2991-8,Free Testosterone,,,,
1317,Permintaan & Hasil,Quantitative,2991-8,Free Testosterone,,,,
1318,Permintaan & Hasil,Quantitative,2991-8,Free Testosterone,,,,
1319,Permintaan & Hasil,Quantitative,13967-5,Sex Hormone Binding Globulin (SHBG),,,,
1320,Permintaan & Hasil,Quantitative,13967-5,Sex Hormone Binding Globulin (SHBG),,,,
1321,Hasil,Quantitative,24125-7,Free Testosterone Index,,,,
1322,Permintaan & Hasil,Quantitative,1848-1,Dehydrotestosterone (DHT),,,,
1323,Permintaan & Hasil,Quantitative,32046-5,PAPP-A,,,,
1324,Permintaan & Hasil,Quantitative,32046-5,PAPP-A,,,,
1325,Permintaan,Ordinal,X099198,Free Light Chain Kappa,,,,
1326,Hasil,Ordinal,44555-1,Free Light Chain Kappa,Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
,,,,,Normal,LA6626-1,http://loinc.org,
,,,,,Increased,LA24377-6,http://loinc.org,
,,,,,Decreased,LA24378-4,http://loinc.org,
1327,Permintaan,Ordinal,X099199,Free Light Chain Lambda,,,,
1328,Hasil,Ordinal,50978-6,Free Light Chain Lambda,Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
,,,,,Normal,LA6626-1,http://loinc.org,
,,,,,Increased,LA24377-6,http://loinc.org,
,,,,,Decreased,LA24378-4,http://loinc.org,
1329,Permintaan & Hasil,Quantitative,2458-8,Kadar IgA,,,,
1330,Permintaan & Hasil,Quantitative,2465-3,Kadar IgG,,,,
1331,Permintaan & Hasil,Quantitative,2472-9,Kadar IgM,,,,
1332,Permintaan & Hasil,Ordinal,X099200,Anti Mullerian Hormone (AMH),High ,LA9193-9,http://loinc.org,
,,,,,Normal ,LA6626-1,http://loinc.org,
,,,,,Low,LA9194-7,http://loinc.org,
1333,Permintaan & Hasil,Quantitative,38476-8,Anti Mullerian Hormone (AMH),,,,
1334,Permintaan & Hasil,Quantitative,83104-0,Anti Mullerian Hormone (AMH),,,,
1335,Permintaan & Hasil,Quantitative,83104-0,Anti Mullerian Hormone (AMH),,,,
1336,Permintaan & Hasil,Quantitative,83104-0,Anti Mullerian Hormone (AMH),,,,
1337,Permintaan & Hasil,Quantitative,82874-9,Kalprotektin,,,,
1338,Permintaan & Hasil,Quantitative,94554-3,Presepsin,,,,
1339,Permintaan & Hasil,Ordinal,55898-1,Imunofiksasi Light Chain,High ,LA9193-9,http://loinc.org,
,,,,,Normal ,LA6626-1,http://loinc.org,
,,,,,Low,LA9194-7,http://loinc.org,
1340,Hasil,Narrative,X099201,Imunofiksasi Light Chain kesimpulan,,,,
1341,Permintaan & Hasil,Quantitative,56940-0,Inhibin B,,,,
1342,Permintaan & Hasil,Quantitative,3520-4,Siklosporin,,,,
1343,Permintaan & Hasil,Quantitative,2164-2,Creatinine clearance,,,,
1344,Permintaan,Quantitative,24351-9,Elektroforesis protein,,,,
1345,Hasil,Quantitative,35706-1,Albumin,,,,
1346,Permintaan & Hasil,Quantitative,1751-7,Albumin,,,,
1347,Permintaan & Hasil,Quantitative,61151-7,Albumin,,,,
1348,Hasil,Quantitative,13978-2,Alfa 1 globulin,,,,
1349,Hasil,Quantitative,2865-4,Alfa 1 globulin,,,,
1350,Hasil,Quantitative,2865-4,Alfa 1 globulin,,,,
1351,Hasil,Quantitative,13981-6,Alfa 2 globulin,,,,
1352,Hasil,Quantitative,2868-8,Alfa 2 globulin,,,,
1353,Hasil,Quantitative,13982-4,Beta globulin,,,,
1354,Hasil,Quantitative,32732-0,Beta 1 globulin,,,,
1355,Hasil,Quantitative,32730-4,Beta 1 globulin,,,,
1356,Hasil,Quantitative,32733-8,Beta 2 globulin,,,,
1357,Hasil,Quantitative,32731-2,Beta 2 globulin,,,,
1358,Hasil,Quantitative,13983-2,Gamma globulin,,,,
1359,Hasil,Quantitative,2874-6,Gamma globulin,,,,
1360,Permintaan & Hasil,Quantitative,10834-0,Globulin,,,,
1361,Permintaan & Hasil,Quantitative,44429-9,Rasio albumin/globulin,,,,
1362,Hasil,Quantitative,1759-0,Rasio albumin/globulin,,,,
1363,Permintaan & Hasil,Quantitative,9318-7,Ratio albumin/kreatinin urine,,,,
1364,Permintaan & Hasil,Quantitative,2324-2,Gamma Glutamil Transferase (GGT),,,,
1365,Permintaan & Hasil,Quantitative,2324-2,Gamma Glutamil Transferase (GGT),,,,
1366,Permintaan & Hasil,Quantitative,2324-2,Gamma Glutamil Transferase (GGT),,,,
1367,Permintaan & Hasil,Quantitative,1558-6,Glukosa darah puasa,,,,
1368,Hasil,Quantitative,1555-2,Glukosa urine puasa,,,,
1369,Permintaan & Hasil,Quantitative,41653-7,Glukosa darah sewaktu (POCT),,,,
1370,Permintaan & Hasil,Quantitative,2345-7,Glukosa darah sewaktu,,,,
1371,Permintaan & Hasil,Quantitative,2350-7,Glukosa urine sewaktu,,,,
1372,Permintaan & Hasil,Quantitative,10449-7,Glukosa darah 1 jam PP,,,,
1373,Permintaan & Hasil,Quantitative,1521-4,Glukosa darah 2 jam PP,,,,
1374,Permintaan & Hasil,Quantitative,25667-7,Glukosa urine 2 jam PP,,,,
1375,Hasil,Quantitative,1552-9,Glukosa darah puasa pre 75 g glukosa po (TTGO),,,,
1376,Hasil,Quantitative,1527-1,Glukosa darah 30 mnt post 75 g glukosa po (TTGO),,,,
1377,Permintaan & Hasil,Quantitative,1507-3,Glukosa darah 1 jam post 75 g glukosa po (TTGO),,,,
1378,Hasil,Quantitative,1496-9,"Glukosa darah 1,5 jam post 75 g glukosa po (TTGO)",,,,
1379,Permintaan & Hasil,Quantitative,1518-0,Glukosa darah 2 jam post 75 g glukosa po (TTGO),,,,
1380,Hasil,Quantitative,1533-9,Glukosa darah 3 jam post 75 g glukosa po (TTGO),,,,
1381,Hasil,Quantitative,25680-0,Glukosa darah puasa pre 50 g glukosa po (TTGO),,,,
1382,Permintaan & Hasil,Quantitative,1504-0,Glukosa darah 1 jam post 50 g glukosa po (TTGO),,,,
